backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,8,2,0,1,0,51.08,148.51,140.93,160.06,ep8/channels2_repeat0.log
rc_gda,8,2,0,2,0,51.34,147.76,140.1,156.8,ep8/channels2_repeat0.log
rc_gda,8,2,0,3,0,51.16,148.28,138.62,160.86,ep8/channels2_repeat0.log
rc_gda,8,2,1,0,0,50.84,149.2,137.15,159.65,ep8/channels2_repeat1.log
rc_gda,8,2,1,1,0,51.16,148.26,138.05,160.9,ep8/channels2_repeat1.log
rc_gda,8,2,1,2,0,51.05,148.6,136.64,160.26,ep8/channels2_repeat1.log
rc_gda,8,2,1,3,0,50.94,148.91,140.74,158.18,ep8/channels2_repeat1.log
rc_gda,8,2,2,0,0,51.1,148.45,138.3,161.09,ep8/channels2_repeat2.log
rc_gda,8,2,2,1,0,51.09,148.49,138.82,159.39,ep8/channels2_repeat2.log
rc_gda,8,2,2,2,0,51.08,148.5,136.64,157.12,ep8/channels2_repeat2.log
rc_gda,8,2,2,3,0,51.04,148.61,138.59,161.41,ep8/channels2_repeat2.log
rc_gda,8,4,0,0,0,52.82,143.63,134.5,152.96,ep8/channels4_repeat0.log
rc_gda,8,4,0,1,0,52.68,144.0,132.86,155.65,ep8/channels4_repeat0.log
rc_gda,8,4,0,2,0,52.88,143.46,136.54,151.2,ep8/channels4_repeat0.log
rc_gda,8,4,0,3,0,52.9,143.39,132.64,151.01,ep8/channels4_repeat0.log
rc_gda,8,4,1,0,0,52.92,143.34,134.72,153.22,ep8/channels4_repeat1.log
rc_gda,8,4,1,1,0,52.74,143.84,132.96,155.55,ep8/channels4_repeat1.log
rc_gda,8,4,1,2,0,52.91,143.36,136.8,151.14,ep8/channels4_repeat1.log
rc_gda,8,4,1,3,0,52.95,143.27,132.54,153.02,ep8/channels4_repeat1.log
rc_gda,8,4,2,0,0,52.89,143.44,136.61,150.94,ep8/channels4_repeat2.log
rc_gda,8,4,2,1,0,52.65,144.08,132.99,157.63,ep8/channels4_repeat2.log
rc_gda,8,4,2,2,0,52.88,143.46,136.58,152.96,ep8/channels4_repeat2.log
rc_gda,8,4,2,3,0,52.84,143.56,134.24,152.96,ep8/channels4_repeat2.log
rc_gda,8,8,0,0,0,53.97,140.56,132.42,151.14,ep8/channels8_repeat0.log
rc_gda,8,8,0,1,0,54.19,139.99,129.86,150.98,ep8/channels8_repeat0.log
rc_gda,8,8,0,2,0,54.04,140.37,134.53,144.96,ep8/channels8_repeat0.log
rc_gda,8,8,0,3,0,53.98,140.52,130.62,147.87,ep8/channels8_repeat0.log
